Date,Log,Change,Close,Volume,Open,High,Low,Silver,SP500,DXY,US1Y,VIX,Oil,DFII10,T10YIE,USEPUINDXD,GPRD,GPRD_ACT,GPRD_THREAT
5/12/2020,0.005169184,0.52,1706.8,182675,1700,1716.7,1693.5,15.709,2870.12,99.93,0.16,33.04000092,26.67,-0.4,1.09,442.15,39.44,9.83,57.39
5/13/2020,0.005608802,0.56,1716.4,204533,1705,1726.5,1701.6,15.671,2820,100.24,0.15,35.27999878,27.89,-0.43,1.07,553.21,59.53,33.91,70.72
5/14/2020,0.014173147,1.43,1740.9,208601,1723.1,1746.5,1716,16.156,2852.5,100.47,0.15,32.61000061,29.87,-0.43,1.06,508.02,82.13,45.49,98.65
5/15/2020,0.007154539,0.72,1753.4,719,1739.7,1751.4,1739.7,17.046,2863.7,100.4,0.15,31.88999939,30.95,-0.45,1.09,374.22,45.82,27.41,53.34
5/18/2020,-0.010895228,-1.08,1734.4,264848,1757.5,1775.8,1729.3,17.468,2953.91,99.67,0.17,29.29999924,33.3,-0.44,1.17,511.62,135.1,140.07,125.82
5/19/2020,0.006436804,0.65,1745.6,181673,1734.8,1751.6,1727.2,17.901,2922.94,99.37,0.16,30.53000069,33.06,-0.45,1.15,363.66,99.48,79.34,99.26
5/20/2020,0.00286025,0.29,1750.6,16,1751.6,1752.1,1745.6,18.002,2971.61,99.12,0.16,27.98999977,34.76,-0.48,1.16,420.68,99.69,45.18,128.12
5/21/2020,-0.016530254,-1.64,1721.9,225941,1751.7,1751.7,1715.3,17.364,2948.51,99.37,0.16,29.53000069,34.78,-0.46,1.14,361.11,73.21,27.37,106.53
5/22/2020,0.007348507,0.74,1734.6,6,1726.6,1726.7,1726.6,17.664,2955.45,99.86,0.17,28.15999985,33.8,-0.46,1.12,418.96,135.65,69.8,174.66
5/26/2020,-0.003696435,-0.37,1728.2,146582,1746.3,1755.6,1721.2,17.595,2991.77,98.91,0.17,28.01000023,33.95,-0.44,1.13,389.21,120.36,73.04,147.95
5/27/2020,-0.00081042,-0.08,1726.8,156746,1724.1,1729.1,1701.6,17.757,3036.13,99.06,0.18,27.62000084,32.73,-0.46,1.14,355.1,23.43,28.03,31.17
5/28/2020,0.000868282,0.09,1728.3,159174,1725,1743.7,1720,17.967,3029.73,98.38,0.17,28.59000015,33.98,-0.48,1.18,421.99,61.02,43.45,79.74
5/29/2020,0.004963649,0.5,1736.9,1406,1718.8,1738.3,1715.1,18.44,3044.31,98.34,0.17,27.51000023,34.15,-0.5,1.15,426.28,137.45,45.68,190.49
6/1/2020,0.007685287,0.77,1750.3,142807,1749.8,1761,1737.6,18.827,3055.73,97.83,0.17,28.22999954,36.74,-0.52,1.18,226.8,53.9,39.08,73.34
6/2/2020,-0.009356323,-0.93,1734,172030,1750.3,1757,1728,18.26,3080.82,97.67,0.17,26.84000015,37.72,-0.5,1.18,257.49,83.04,82.79,76.73
6/3/2020,-0.016983077,-1.68,1704.8,249036,1733.7,1738.9,1690.3,17.958,3122.87,97.28,0.17,25.65999985,37.98,-0.44,1.21,287.17,114.53,52.7,190.47
6/4/2020,0.013169586,1.33,1727.4,193873,1702.8,1729,1698.9,18.061,3112.35,96.68,0.17,25.80999947,38.41,-0.4,1.22,231.24,36.15,27.03,37.58
6/5/2020,-0.026039473,-2.57,1683,267086,1720.8,1723.2,1671.7,17.479,3193.93,96.94,0.18,24.52000046,41,-0.36,1.27,235.07,109.98,61.4,131.69
6/8/2020,0.013045845,1.31,1705.1,151461,1686.7,1707.6,1680.7,17.893,3232.39,96.62,0.19,25.80999947,39.66,-0.4,1.28,318.64,65.65,50.34,75.58
6/9/2020,0.009804572,0.99,1721.9,178128,1703.9,1729.4,1697.6,17.794,3207.18,96.32,0.19,27.56999969,40.45,-0.42,1.26,191.32,68.3,19.45,105.47
6/10/2020,-0.000697148,-0.07,1720.7,195593,1718.9,1749.4,1714.1,17.796,3190.14,95.96,0.18,27.56999969,41.18,-0.52,1.27,237.88,95.69,45.42,121.24
6/11/2020,0.011038979,1.11,1739.8,202214,1746.6,1754.9,1727.5,17.889,3002.1,96.73,0.19,40.79000092,37.76,-0.55,1.21,317.86,87.41,18.35,137.73
6/12/2020,-0.00143798,-0.14,1737.3,148176,1733.6,1753,1728.2,17.482,3041.31,97.32,0.18,36.09000015,38.54,-0.5,1.21,293.12,73.61,55.04,76.51
6/15/2020,-0.005830584,-0.58,1727.2,195205,1740.7,1743.8,1706.2,17.399,3066.59,96.71,0.17,34.40000153,39.44,-0.52,1.23,300.34,102.87,102.56,128.32
6/16/2020,0.005369993,0.54,1736.5,177702,1732.3,1741.3,1721.8,17.652,3124.74,96.96,0.18,33.66999817,40.75,-0.52,1.27,319.69,79.2,27.87,108.48
6/17/2020,-0.000518418,-0.05,1735.6,137879,1735.3,1739.3,1717.3,17.775,3113.49,97.16,0.19,33.47000122,40.47,-0.52,1.26,348.4,151.38,150.91,133.28
6/18/2020,-0.00259613,-0.26,1731.1,152628,1735.5,1749.2,1722.7,17.67,3115.34,97.42,0.19,32.93999863,41.75,-0.57,1.28,322.96,101.32,61.48,124.54
6/19/2020,0.012571561,1.27,1753,174981,1729.8,1760.9,1728.3,18.022,3097.74,97.62,0.18,35.11999893,42.33,-0.6,1.3,450.64,53.82,78.05,32.55
6/22/2020,0.007614971,0.76,1766.4,219460,1765.8,1779,1753.5,18.074,3117.86,97.04,0.17,31.77000046,43.2,-0.63,1.34,259.55,131.45,83.87,166.14
6/23/2020,0.008792752,0.88,1782,190018,1764.9,1786.8,1758.3,18.239,3131.29,96.65,0.18,31.37000084,42.72,-0.66,1.38,309.15,56.38,65.58,62.51
6/24/2020,-0.00387957,-0.39,1775.1,230610,1784.4,1796.1,1770.6,17.811,3050.33,97.15,0.17,33.84000015,40.4,-0.64,1.33,224.4,80.22,37.63,109.87
6/25/2020,-0.002538287,-0.25,1770.6,148788,1772.3,1779.6,1764.1,18.051,3083.76,97.43,0.17,32.22000122,41.18,-0.65,1.33,225.72,40.78,27.11,45.22
6/26/2020,0.005463417,0.55,1780.3,195963,1774.8,1786.2,1754,18.168,3009.05,97.43,0.17,34.72999954,40.97,-0.68,1.32,260.33,44.34,8.84,66.37
6/29/2020,0.000505405,0.05,1781.2,128441,1789.2,1790.4,1776.5,18.064,3053.24,97.54,0.16,31.78000069,41.58,-0.7,1.34,301.58,48.01,63.81,44.36
6/30/2020,0.01077711,1.08,1800.5,190351,1799.2,1801.4,1795.5,18.637,3100.29,97.39,0.16,30.43000031,41.64,-0.68,1.34,292.37,76.92,67.1,87.95
7/1/2020,-0.011507221,-1.14,1779.9,258541,1798.9,1807.7,1767.9,18.218,3115.86,97.2,0.16,28.62000084,42.18,-0.68,1.37,329.62,107.85,143.36,145.2
